RoadID,RoadSegmentID,RoadDescription,SegmentDescription,LatLong,Outbound1,PC1,Outbound2,PC2,Outbound3,PC3,Outbound4,PC4
219-00566,40504,Pracharatrat Sai 2 Rd,แยกวัดสะพานสูงบางซื่อ - 566,"13.80454, 100.53589",219-00566,40503,out,,,,,
219-00566,40503,Pracharatrat Sai 2 Rd,แยกประชาชื่น 566,"13.80572, 100.53325",219-00566,40502,out,,,,,
219-00566,40502,Pracharatrat Sai 2 Rd,แยกเตาปูน 566,"13.80635, 100.53082",219-00566,40501,out,,,,,
219-00566,40501,Pracharatrat Sai 2 Rd,แยกบางโพ 566,"13.80642, 100.52155",219-00566,40500,,,,,,
219-00566,40500,Pracharatrat Sai 2 Rd,อาคารระบายน้ำคลองเปรมประชากร,"13.8065, 100.51928",219-00566,,,,,,,
219+00566,40500,Pracharatrat Sai 2 Rd,อาคารระบายน้ำคลองเปรมประชากร,"13.8065, 100.51928",219+00566,40501,out,,,,,
219+00566,40501,Pracharatrat Sai 2 Rd,แยกบางโพ 566,"13.80642, 100.52155",219+00566,40502,,,,,,
219+00566,40502,Pracharatrat Sai 2 Rd,แยกเตาปูน 566,"13.80635, 100.53082",219+00566,40503,,,,,,
219+00566,40503,Pracharatrat Sai 2 Rd,แยกประชาชื่น 566,"13.80572, 100.53325",219+00566,40504,out,,,,,
219+00566,40504,Pracharatrat Sai 2 Rd,แยกวัดสะพานสูงบางซื่อ - 566,"13.80454, 100.53589",219+00566,,out,,,,,
219-00567,41007,Bangkok-Nonthaburi Road,แยกวงศ์สว่าง - 567,"13.82828, 100.52844",219-00567,41006,,,,,,
219-00567,41006,Bangkok-Nonthaburi Road,ซอยกรุงเทพ-นนทบุรี 44,"13.82592, 100.53135",219-00567,41005,,,,,,
219-00567,41005,Bangkok-Nonthaburi Road,ซอยดอกส้ม,"13.82249, 100.53282",219-00567,41004,out,,,,,
219-00567,41004,Bangkok-Nonthaburi Road,ซอยกรุงเทพ-นนทบุรี 32,"13.81858, 100.53237",219-00567,41003,out,,,,,
219-00567,41003,Bangkok-Nonthaburi Road,ประชาชื่น 16,"13.81592, 100.53206",219-00567,41002,out,,,,,
219-00567,41002,Bangkok-Nonthaburi Road,ซอยกรุงเทพ-นนทบุรี 13,"13.81275, 100.53163",219-00567,41001,out,,,,,
219-00567,41001,Bangkok-Nonthaburi Road,ซอยกรุงเทพ-นนทบุรี 5,"13.81031, 100.53131",219-00567,41000,out,,,,,
219-00567,41000,Bangkok-Nonthaburi Road,แยกเตาปูน 567,"13.80635, 100.53082",219-00567,,out,,,,,
219+00567,41000,Bangkok-Nonthaburi Road,แยกเตาปูน 567,"13.80635, 100.53082",219+00567,41001,out,,,,,
219+00567,41001,Bangkok-Nonthaburi Road,ซอยกรุงเทพ-นนทบุรี 5,"13.81031, 100.53131",219+00567,41002,out,,,,,
219+00567,41002,Bangkok-Nonthaburi Road,ซอยกรุงเทพ-นนทบุรี 13,"13.81275, 100.53163",219+00567,41003,out,,,,,
219+00567,41003,Bangkok-Nonthaburi Road,ประชาชื่น 16,"13.81592, 100.53206",219+00567,41004,out,,,,,
219+00567,41004,Bangkok-Nonthaburi Road,ซอยกรุงเทพ-นนทบุรี 32,"13.81858, 100.53237",219+00567,41005,out,,,,,
219+00567,41005,Bangkok-Nonthaburi Road,ซอยดอกส้ม,"13.82249, 100.53282",219+00567,41006,out,,,,,
219+00567,41006,Bangkok-Nonthaburi Road,ซอยกรุงเทพ-นนทบุรี 44,"13.82592, 100.53135",219+00567,41007,out,,,,,
219+00567,41007,Bangkok-Nonthaburi Road,แยกวงศ์สว่าง - 567,"13.82828, 100.52844",219+00567,,,,,,,
219-00639,22033,Wongsawang Road,แยกวงศ์สว่าง - 639,"13.82828, 100.52844",219-00639,22024,out,,,,,
219-00639,22024,Wongsawang Road,ดุสิตวิลลา,"13.82559, 100.52552",219-00639,22023,out,,,,,
219-00639,22023,Wongsawang Road,โรงเรียนชูธรรมานุสรณ์,"13.82161, 100.5211",219-00639,22022,out,,,,,
219-00639,22022,Wongsawang Road,ซอยวงศ์สว่าง 1,"13.81813, 100.51725",219-00639,22032,219-00661,35518,,,,
219-00639,22032,Wongsawang Road,สะพานพระราม 7-639,"13.80936, 100.51085",,,out,,,,,
219+00639,22032,Wongsawang Road,สะพานพระราม 7-639,"13.80936, 100.51085",219+00639,22022,219+02600,46771,,,,
219+00639,22022,Wongsawang Road,ซอยวงศ์สว่าง 1,"13.81813, 100.51725",219+00639,22023,,,,,,
219+00639,22023,Wongsawang Road,โรงเรียนชูธรรมานุสรณ์,"13.82161, 100.5211",219+00639,22024,,,,,,
219+00639,22024,Wongsawang Road,ดุสิตวิลลา,"13.82559, 100.52552",219+00639,22033,,,,,,
219+00639,22033,Wongsawang Road,แยกวงศ์สว่าง - 639,"13.82828, 100.52844",,,219+00640,22025,219-00567,41007,219-02960,47760
219-00640,22027,Ratchada Phisek Road,แยกประชานุกูล 640,"13.83041, 100.53921",219-00640,22026,out,,,,,
219-00640,22026,Ratchada Phisek Road,ซอยรัชดาภิเษก 74,"13.83083, 100.53346",219-00640,22025,out,,,,,
219-00640,22025,Ratchada Phisek Road,แยกวงศ์สว่าง 640,"13.82828, 100.52844",219-00640,,,,,,,
219+00640,22025,Ratchada Phisek Road,แยกวงศ์สว่าง 640,"13.82828, 100.52844",219+00640,22026,,,,,,
219+00640,22026,Ratchada Phisek Road,ซอยรัชดาภิเษก 74,"13.83083, 100.53346",219+00640,22027,,,,,,
219+00640,22027,Ratchada Phisek Road,แยกประชานุกูล 640,"13.83041, 100.53921",219+00640,22028,out,,,,,
219-00661,35518,Pracharat Sai1 Road,ถนนพิบูลสงครามตัดกับถนนพระรามที่ 7,"13.8156, 100.51518",219-00661,35517,,,,,,
219-00661,35517,Pracharat Sai1 Road,แยกประชาราษฎร์,"13.81463, 100.52095",219-00661,35516,,,,,,
219-00661,35516,Pracharat Sai1 Road,ประชาราษฎร์ สาย 1 ซอย 28,"13.81078, 100.5218",219-00661,35515,219+02629,46847,219-02630,46850,,
219-00661,35515,Pracharat Sai1 Road,แยกบางโพ 661,"13.80642, 100.52155",219-00661,35514,219+00566,40501,219-00566,40501,,
219-00661,35514,Pracharat Sai1 Road,ประชาราษฎร์ สาย 1 ซอย 10,"13.80256, 100.52138",219-00661,35513,,,,,,
219-00661,35513,Pracharat Sai1 Road,แยกเกียกกาย 661,"13.79724, 100.52139",219-00661,,out,,,,,
219+00661,35514,Pracharat Sai1 Road,ประชาราษฎร์ สาย 1 ซอย 10,"13.80256, 100.52138",219+00661,35515,out,,,,,
219+00661,35515,Pracharat Sai1 Road,แยกบางโพ 661,"13.80642, 100.52155",219+00661,35516,out,,,,,
219+00661,35516,Pracharat Sai1 Road,ประชาราษฎร์ สาย 1 ซอย 28,"13.81078, 100.5218",219+00661,35517,out,,,,,
219+00661,35517,Pracharat Sai1 Road,แยกประชาราษฎร์,"13.81463, 100.52095",219+00661,35518,out,,,,,
219+00661,35518,Pracharat Sai1 Road,ถนนพิบูลสงครามตัดกับถนนพระรามที่ 7,"13.8156, 100.51518",219+00661,,219+02600,46771,,,,
219-00682,14149,Nakhon In Road,แยกแคราย 682,"13.85922, 100.52108",,,out,,,,,
219+00682,14150,Nakhon In Road,แยกบางสีทอง,"13.82401, 100.47884",219+00682,14151,,,,,,
219-02427,46335,Bangkok-Nonthaburi Road,ถนนกรุงเทพ-นนทบุรี,"13.83362, 100.52204",219-02427,46334,,,,,,
219-02427,46334,Bangkok-Nonthaburi Road,ซอยกรุงเทพ-นนท์ 7,"13.83862, 100.51599",219-02427,46333,,,,,,
219-02427,46333,Bangkok-Nonthaburi Road,ถนนติวานนท์/ถนนประชาราษฎร์,"13.84301, 100.51087",,,219+57505,57506,,,,
219+02427,46333,Bangkok-Nonthaburi Road,ถนนติวานนท์/ถนนประชาราษฎร์,"13.84301, 100.51087",219+02427,46334,,,,,,
219+02427,46334,Bangkok-Nonthaburi Road,ซอยกรุงเทพ-นนท์ 7,"13.83862, 100.51599",219+02427,46335,,,,,,
219+02427,46335,Bangkok-Nonthaburi Road,ถนนกรุงเทพ-นนทบุรี,"13.83362, 100.52204",,,,,,,,
219-02537,46620,Luang Wichian Phaethayakhom Road,ถนนหลวงวิเชียรแพทยาคม/ซอยงามวงศ์วาน 2,"13.85502, 100.52659",,,out,,,,,
219-02536,46619,Luang Wichian Phaethayakhom Road,หลวงวิเชียรแพทยาคม,"13.84565, 100.52684",219-02536,46618,out,,,,,
219-02536,46618,Luang Wichian Phaethayakhom Road,ซอยทิมแลนด์,"13.84498, 100.52282",219-02536,46617,out,,,,,
219-02536,46617,Luang Wichian Phaethayakhom Road,ซอยติวานนท์ 2,"13.84392, 100.5155",219-02536,46616,out,,,,,
219-02536,46616,Luang Wichian Phaethayakhom Road,ถนนติวานนท์,"13.84779, 100.51444",,,out,,,,,
219+02537,46620,Luang Wichian Phaethayakhom Road,ถนนหลวงวิเชียรแพทยาคม/ซอยงามวงศ์วาน 2,"13.85502, 100.52659",219+02537,46621,out,,,,,
219+02536,46616,Luang Wichian Phaethayakhom Road,ถนนติวานนท์,"13.84779, 100.51444",219+02536,46617,out,,,,,
219+02536,46617,Luang Wichian Phaethayakhom Road,ซอยติวานนท์ 2,"13.84392, 100.5155",219+02536,46618,out,,,,,
219+02536,46618,Luang Wichian Phaethayakhom Road,ซอยทิมแลนด์,"13.84498, 100.52282",219+02536,46619,out,,,,,
219+02536,46619,Luang Wichian Phaethayakhom Road,หลวงวิเชียรแพทยาคม,"13.84565, 100.52684",,,out,,,,,
219-02600,46776,Phibunsongkhram Road,ตรอกป้าเล็ก/ถนน ประชารัฐ,"13.84319, 100.49547",219-02600,46775,out,,,,,
219-02600,46775,Phibunsongkhram Road,ซอยพิบูลสงคราม 15,"13.83776, 100.49787",219-02600,46774,,,,,,
219-02600,46774,Phibunsongkhram Road,ถนนนครอินทร์,"13.83461, 100.49954",219-02600,46773,out,,,,,
219-02600,46773,Phibunsongkhram Road,ซอยพิบูลสงคราม 22,"13.83226, 100.50053",219-02600,46772,,,,,,
219-02600,46772,Phibunsongkhram Road,ซอยพิบูลสงคราม 3,"13.82288, 100.50398",219-02600,46771,,,,,,
219-02600,46771,Phibunsongkhram Road,สะพานพระราม 7,"13.8172, 100.51621",,,219+00639,22022,219-00661,35518,,
219+02600,46771,Phibunsongkhram Road,สะพานพระราม 7,"13.8172, 100.51621",219+02600,46772,,,,,,
219+02600,46772,Phibunsongkhram Road,ซอยพิบูลสงคราม 3,"13.82288, 100.50398",219+02600,46773,,,,,,
219+02600,46773,Phibunsongkhram Road,ซอยพิบูลสงคราม 22,"13.83226, 100.50053",219+02600,46774,,,,,,
219+02600,46774,Phibunsongkhram Road,ถนนนครอินทร์,"13.83461, 100.49954",219+02600,46775,219-57500,57502,219+57500,57502,,
219+02600,46775,Phibunsongkhram Road,ซอยพิบูลสงคราม 15,"13.83776, 100.49787",219+02600,46776,,,,,,
219+02600,46776,Phibunsongkhram Road,ตรอกป้าเล็ก/ถนน ประชารัฐ,"13.84319, 100.49547",219+02600,46777,out,,,,,
219+02629,46847,Pracharat Sai 1 Soi 24,ถนนประชาราษฎร์ สาย 1,"13.80926, 100.52174",219+02629,46848,,,,,,
219+02629,46848,Pracharat Sai 1 Soi 24,ถนนกรุงเทพ-นนทบุรี,"13.81024, 100.53129",,,,,,,,
219-02628,46846,Pracharatr Road,ถนนติวานนท์/ถนนประชาราษฎร์,"13.84301, 100.51087",219-02628,46845,219+57505,57506,,,,
219-02628,46845,Pracharatr Road,ซอยประชาราษฎร์ 16/2,"13.84381, 100.49971",219-02628,46844,,,,,,
219-02628,46844,Pracharatr Road,ถนนพิบูลสงคราม,"13.84319, 100.49547",,,out,,,,,
219+02628,46844,Pracharatr Road,ถนนพิบูลสงคราม,"13.84319, 100.49547",219+02628,46845,out,,,,,
219+02628,46845,Pracharatr Road,ซอยประชาราษฎร์ 16/2,"13.84381, 100.49971",219+02628,46846,out,,,,,
219+02628,46846,Pracharatr Road,ถนนติวานนท์/ถนนประชาราษฎร์,"13.84301, 100.51087",,,,,,,,
219+02630,46849,Pracharat Sai 1 Soi 28,ถนนกรุงเทพ-นนทบุรี 13,"13.81144, 100.52569",219+02630,46850,out,,,,,
219+02630,46850,Pracharat Sai 1 Soi 28,ถนนประชาราษฎร์ สาย 1,"13.81077, 100.52178",,,219-00661,35516,,,,
219-02630,46850,Pracharat Sai 1 Soi 28,ถนนประชาราษฎร์ สาย 1,"13.81077, 100.52178",219-02630,46849,,,,,,
219-02630,46849,Pracharat Sai 1 Soi 28,ถนนกรุงเทพ-นนทบุรี 13,"13.81144, 100.52569",,,out,,,,,
219-02699,47031,Saun Yai,ซอยประชาราษฎร์ 16/2,"13.84381, 100.49971",219-02699,47030,out,,,,,
219-02699,47030,Saun Yai,ซอยพิบูลสงคราม 15,"13.83776, 100.49787",,,out,,,,,
219+02699,47030,Saun Yai,ซอยพิบูลสงคราม 15,"13.83776, 100.49787",219+02699,47031,out,,,,,
219+02699,47031,Saun Yai,ซอยประชาราษฎร์ 16/2,"13.84381, 100.49971",219+02699,47032,out,,,,,
219-02728,47103,Soi Krungthepnon 7 (East),ถนนกรุงเทพ-นนทบุรี,"13.83862, 100.51599",219-02728,47102,out,,,,,
219-02728,47102,Soi Krungthepnon 7 (East),ซอยเสนาสฤษดิ์เดช 8,"13.83671, 100.50988",,,out,,,,,
219-02729,47105,Soi Krungthepnon 7,ซอยพิบูลสงคราม 22,"13.83239, 100.5097",219-02729,47104,out,,,,,
219-02729,47104,Soi Krungthepnon 7,ซอยกรุงเทพ-นนท์ 7/ซอยนครอินทร์ 1,"13.83749, 100.50975",,,out,,,,,
219+02728,47102,Soi Krungthepnon 7 (East),ซอยเสนาสฤษดิ์เดช 8,"13.83671, 100.50988",219+02728,47103,out,,,,,
219+02728,47103,Soi Krungthepnon 7 (East),ถนนกรุงเทพ-นนทบุรี,"13.83862, 100.51599",,,out,,,,,
219+02729,47104,Soi Krungthepnon 7,ซอยกรุงเทพ-นนท์ 7/ซอยนครอินทร์ 1,"13.83749, 100.50975",219+02729,47105,out,,,,,
219+02729,47105,Soi Krungthepnon 7,ซอยพิบูลสงคราม 22,"13.83239, 100.5097",,,out,,,,,
219-02751,47164,Soi Nakorninn 1,ถนนติวานนท์,"13.83985, 100.50903",219-02751,47163,out,,,,,
219-02751,47163,Soi Nakorninn 1,ซอยกรุงเทพ-นนท์ 7/ซอยนครอินทร์ 1,"13.83749, 100.50975",219-02751,47162,out,,,,,
219-02751,47162,Soi Nakorninn 1,ซอยกรุงเทพ-นนท์ 7,"13.83671, 100.50988",,,out,,,,,
219+02751,47162,Soi Nakorninn 1,ซอยกรุงเทพ-นนท์ 7,"13.83671, 100.50988",219+02751,47163,out,,,,,
219+02751,47163,Soi Nakorninn 1,ซอยกรุงเทพ-นนท์ 7/ซอยนครอินทร์ 1,"13.83749, 100.50975",219+02751,47164,out,,,,,
219+02751,47164,Soi Nakorninn 1,ถนนติวานนท์,"13.83985, 100.50903",,,out,,,,,
219+02756,47179,Soi Ngamwongwarn 2,ถนนหลวงวิเชียรแพทยาคม/ซอยงามวงศ์วาน 2,"13.85502, 100.52659",219+02756,47180,out,,,,,
219+02756,47180,Soi Ngamwongwarn 2,ถนนงามวงศ์วาน,"13.85837, 100.52644",,,out,,,,,
219-02756,47179,Soi Ngamwongwarn 2,ถนนหลวงวิเชียรแพทยาคม/ซอยงามวงศ์วาน 2,"13.85502, 100.52659",,,out,,,,,
219-02784,47248,Soi Pibul Songklam 22,ซอยกรุงเทพ-นนท์ 7,"13.83239, 100.5097",219-02784,47247,out,,,,,
219-02784,47247,Soi Pibul Songklam 22,ถนนพิบูลสงคราม,"13.83226, 100.50053",,,out,,,,,
219+02784,47247,Soi Pibul Songklam 22,ถนนพิบูลสงคราม,"13.83226, 100.50053",219+02784,47248,out,,,,,
219+02784,47248,Soi Pibul Songklam 22,ซอยกรุงเทพ-นนท์ 7,"13.83239, 100.5097",,,out,,,,,
219-02818,47335,Soi Rewadee,ถนนติวานนท์,"13.8541, 100.51846",219-02818,47334,,,,,,
219-02818,47334,Soi Rewadee,ถนนเรวดี,"13.85645, 100.5014",219-02818,47333,out,,,,,
219+02818,47334,Soi Rewadee,ถนนเรวดี,"13.85645, 100.5014",219+02818,47335,out,,,,,
219+02818,47335,Soi Rewadee,ถนนติวานนท์,"13.8541, 100.51846",219+02818,,,,,,,
219-02854,47436,Soi Tiwanon 14,หลวงวิเชียรแพทยาคม,"13.85446, 100.52648",219-02854,47435,out,,,,,
219-02854,47435,Soi Tiwanon 14,ถนนเรวดี,"13.85395, 100.51874",,,,,,,,
219+02854,47435,Soi Tiwanon 14,ถนนเรวดี,"13.85395, 100.51874",219+02854,47436,,,,,,
219+02854,47436,Soi Tiwanon 14,หลวงวิเชียรแพทยาคม,"13.85446, 100.52648",,,out,,,,,
219+02959,47757,Krungthep -Nonthaburi 13 Road,ถนนกรุงเทพ-นนทบุรี,"13.81281, 100.53157",219+02959,47758,out,,,,,
219+02959,47758,Krungthep -Nonthaburi 13 Road,ประชาราษฎร์ สาย 1 ซอย 28,"13.81144, 100.52569",,,out,,,,,
219-02960,47760,Bangkok-Nonthaburi Road,ถนนวงศ์สว่าง,"13.82838, 100.5284",219-02960,47759,,,,,,
219-02960,47759,Bangkok-Nonthaburi Road,ถนนกรุงเทพ-นนทบุรี,"13.83362, 100.52204",,,219-02427,46335,,,,
219-02959,47758,Krungthep -Nonthaburi 13 Road,ประชาราษฎร์ สาย 1 ซอย 28,"13.81144, 100.52569",219-02959,47757,out,,,,,
219-02959,47757,Krungthep -Nonthaburi 13 Road,ถนนกรุงเทพ-นนทบุรี,"13.81281, 100.53157",,,out,,,,,
219+02960,47759,Bangkok-Nonthaburi Road,ถนนกรุงเทพ-นนทบุรี,"13.83362, 100.52204",219+02960,47760,,,,,,
219+02960,47760,Bangkok-Nonthaburi Road,ถนนวงศ์สว่าง,"13.82838, 100.5284",,,,,,,,
219+00471,472,ถนน ริมคลองประปา,ถนน ประชาชื่น (ทางตอนใต้),,219+00471,,,,,,,
219+00471,473,ถนน ริมคลองประปา,ถนน ประชาชื่น (เหนือ),,219+00471,,,,,,,
219-00471,473,ถนน ริมคลองประปา,ถนน ประชาชื่น (เหนือ),,219-00471,,,,,,,
219-00471,472,ถนน ริมคลองประปา,ถนน ประชาชื่น (ทางตอนใต้),,219-00471,,,,,,,
219-57148,57152,สะพานมหาเจษฎาบดินทรานุสรณ์,ทางหลวงชนบท 4018/เลี่ยงเมืองนนทบุรี,,219-57148,,,,,,,
219+57148,57152,สะพานมหาเจษฎาบดินทรานุสรณ์,ทางหลวงชนบท 4018/เลี่ยงเมืองนนทบุรี,,219+57148,,,,,,,
219-57424,57432,ทางพิเศษสายศรีรัช-วงแหวนรอบนอกกรุงเทพมหานคร,ถนน กรุงเทพฯ-นนทบุรี,,219-57424,,,,,,,
219-57424,57431,ทางพิเศษสายศรีรัช-วงแหวนรอบนอกกรุงเทพมหานคร,ถนน ประชาราษฎร์สาย 1,,219-57424,,,,,,,
219-57424,57430,ทางพิเศษสายศรีรัช-วงแหวนรอบนอกกรุงเทพมหานคร,สะพานพระราม 7,,219-57424,,,,,,,
219-57424,57429,ทางพิเศษสายศรีรัช-วงแหวนรอบนอกกรุงเทพมหานคร,บางพลัด,,219-57424,,,,,,,
219+57424,57430,ทางพิเศษสายศรีรัช-วงแหวนรอบนอกกรุงเทพมหานคร,สะพานพระราม 7,,219+57424,,,,,,,
219+57424,57431,ทางพิเศษสายศรีรัช-วงแหวนรอบนอกกรุงเทพมหานคร,ถนน ประชาราษฎร์สาย 1,,219+57424,,,,,,,
219+57424,57432,ทางพิเศษสายศรีรัช-วงแหวนรอบนอกกรุงเทพมหานคร,ถนน กรุงเทพฯ-นนทบุรี,,219+57424,,,,,,,
219+57424,57433,ทางพิเศษสายศรีรัช-วงแหวนรอบนอกกรุงเทพมหานคร,จตุจักร,,219+57424,,,,,,,
219-57496,57499,ทางหลวงชนบท นบ. 1020/ถนน นครอินทร์ ที่ดินริมถนน,ทางหลวงชนบท นบ. 1020/ถนน นครอินทร์ (ทิศตะวันออก),"13.835306, 100.502434",219-57496,57498,,,,,,
219-57496,57498,ทางหลวงชนบท นบ. 1020/ถนน นครอินทร์ ที่ดินริมถนน,3215/ถนน บางกรวย-ไทรน้อย,"13.8243, 100.47876",219-57496,,out,,,,,
219-57505,57507,ถนนติวานนท์,306/ถนนติวานนท์,"13.854076, 100.518502",219-57505,57506,out,,,,,
219-57505,57506,ถนนติวานนท์,ถนน กรุงเทพฯ-นนทบุรี/ถนน ประชารัตน์,"13.842909, 100.510836",219-57505,,out,,,,,
219+57505,57506,ถนนติวานนท์,ถนน กรุงเทพฯ-นนทบุรี/ถนน ประชารัตน์,"13.842909, 100.510836",219+57505,57507,,,,,,
219+57505,57507,ถนนติวานนท์,306/ถนนติวานนท์,"13.854076, 100.518502",219+57505,,219-02818,47335,,,,
219+57496,57499,ทางหลวงชนบท นบ. 1020/ถนน นครอินทร์ ที่ดินริมถนน,ทางหลวงชนบท นบ. 1020/ถนน นครอินทร์ (ทิศตะวันออก),"13.835306, 100.502434",219+57496,,219+57500,57503,,,,
219-57500,57504,ทางหลวงชนบท นบ. 1020/ถนน นครอินทร์ ที่ดินริมถนน,306/ถนน กรุงเทพฯ-นนทบุรี/ถนน ประชารัตน์,"13.842909, 100.510836",219-57500,57503,out,,,,,
219-57500,57503,ทางหลวงชนบท นบ. 1020/ถนน นครอินทร์ ที่ดินริมถนน,ถนนนครอินทร์,"13.83703, 100.50681",219-57500,57502,out,,,,,
219-57500,57502,ทางหลวงชนบท นบ. 1020/ถนน นครอินทร์ ที่ดินริมถนน,306/ถนนพิบูลย์สงคราม,"13.83461, 100.49954",219-57500,57501,,,,,,
219-57500,57501,ทางหลวงชนบท นบ. 1020/ถนน นครอินทร์ ที่ดินริมถนน,ทางหลวงชนบท นบ. 1020/ถนน นครอินทร์,"13.83393, 100.49803",219-57500,,out,,,,,
219+57500,57501,ทางหลวงชนบท นบ. 1020/ถนน นครอินทร์ ที่ดินริมถนน,ทางหลวงชนบท นบ. 1020/ถนน นครอินทร์,"13.83393, 100.49803",219+57500,57502,,,,,,
219+57500,57502,ทางหลวงชนบท นบ. 1020/ถนน นครอินทร์ ที่ดินริมถนน,306/ถนนพิบูลย์สงคราม,"13.83461, 100.49954",219+57500,57503,,,,,,
219+57500,57503,ทางหลวงชนบท นบ. 1020/ถนน นครอินทร์ ที่ดินริมถนน,ถนนนครอินทร์,"13.83703, 100.50681",219+57500,57504,,,,,,
219+57500,57504,ทางหลวงชนบท นบ. 1020/ถนน นครอินทร์ ที่ดินริมถนน,306/ถนน กรุงเทพฯ-นนทบุรี/ถนน ประชารัตน์,"13.842909, 100.510836",219+57500,,219-02628,46846,,,,
219-59682,59685,ซอย ทิมแลนด์,ทางพิเศษศรีรัช,,219-59682,,,,,,,
219-59682,59684,ซอย ทิมแลนด์,นนทบุรี,,219-59682,,,,,,,
219-59682,59683,ซอย ทิมแลนด์,ซอยทิมแลนด์/ซอยดวงมณี,,219-59682,,,,,,,
219+59682,59683,ซอย ทิมแลนด์,ซอยทิมแลนด์/ซอยดวงมณี,,219+59682,,,,,,,
219+59682,59684,ซอย ทิมแลนด์,นนทบุรี,,219+59682,,,,,,,
219+59682,59685,ซอย ทิมแลนด์,ทางพิเศษศรีรัช,,219+59682,,,,,,,
219-59686,59688,ซอย งามวงศ์วาน 6,ทางพิเศษศรีรัช,,219-59686,,,,,,,
219-59686,59687,ซอย งามวงศ์วาน 6,ซอย งามวงศ์วาน 6,,219-59686,,,,,,,
219+59686,59687,ซอย งามวงศ์วาน 6,ซอย งามวงศ์วาน 6,,219+59686,,,,,,,
219+59686,59688,ซอย งามวงศ์วาน 6,ทางพิเศษศรีรัช,,219+59686,,,,,,,
219-59898,59902,ตลิ่งชัน,ทางพิเศษสายศรีรัช-วงแหวนรอบนอกกรุงเทพมหานคร,,219-59898,,,,,,,
219+59898,59902,ตลิ่งชัน,ทางพิเศษสายศรีรัช-วงแหวนรอบนอกกรุงเทพมหานคร,,219+59898,,,,,,,
219-59919,59924,ตลิ่งชัน,ทางพิเศษสายศรีรัช-วงแหวนรอบนอกกรุงเทพมหานคร,,219-59919,,,,,,,
219-59919,59923,ตลิ่งชัน,341/ถนนสิรินธร,,219-59919,,,,,,,
